21:15:55 2018.0 ppm (+164), brightness: 0.148, window is closed -> open window
23:01:31 1337.0 ppm (-35), brightness: 0.148, window is open -> close window
23:50:03 2003.0 ppm (+5), brightness: 0.148, window is closed -> open window
00:03:04 1343.0 ppm (-45), brightness: 0.147, window is open -> close window
01:24:08 2029.0 ppm (+71), brightness: 0.147, window is closed -> open window
01:38:09 1339.0 ppm (-50), brightness: 0.148, window is open -> close window
04:19:18 2009.0 ppm (+30), brightness: 0.147, window is closed -> open window
04:31:49 1343.0 ppm (-29), brightness: 0.148, window is open -> close window
05:20:51 1715.0 ppm (+26), brightness: 0.148, window is closed -> open window
05:38:22 1346.0 ppm (-37), brightness: 0.148, window is open -> close window
20:00:10 1494.0 ppm (+4), brightness: 0.148, window is closed -> open window
20:16:41 1327.0 ppm (-32), brightness: 0.147, window is open -> close window
22:35:18 2008.0 ppm (+26), brightness: 0.148, window is closed -> open window
00:37:25 1349.0 ppm (-13), brightness: 0.148, window is open -> close window
04:59:39 1800.0 ppm (+53), brightness: 0.148, window is closed -> open window
05:59:43 1423.0 ppm (+11), brightness: 0.147, window is open -> close window
19:59:59 1354.0 ppm (-2), brightness: 0.148, window is closed -> open window
20:00:59 1348.0 ppm (-16), brightness: 0.148, window is open -> close window
20:01:59 1338.0 ppm (-16), brightness: 0.148, window is closed -> open window
20:01:59 1338.0 ppm (-16), brightness: 0.148, window is closed -> close window
22:14:06 2009.0 ppm (+13), brightness: 0.148, window is closed -> open window
22:30:07 1349.0 ppm (-25), brightness: 0.147, window is open -> close window
00:16:12 2012.0 ppm (+30), brightness: 0.148, window is closed -> open window
01:49:18 1342.0 ppm (-18), brightness: 0.147, window is open -> close window
03:34:53 2056.0 ppm (+96), brightness: 0.148, window is closed -> open window
04:00:55 1346.0 ppm (-8), brightness: 0.148, window is open -> close window
04:59:58 1829.0 ppm (-22), brightness: 0.148, window is closed -> open window
05:43:30 1347.0 ppm (-12), brightness: 0.147, window is open -> close window
16:52:06 2013.0 ppm (+142), brightness: 0.148, window is closed -> open window
17:38:09 1347.0 ppm (-19), brightness: 0.848, window is open -> close window
20:00:17 1635.0 ppm (+16), brightness: 0.148, window is closed -> open window
20:22:48 1350.0 ppm (-27), brightness: 0.148, window is open -> close window
00:00:30 2039.0 ppm (+108), brightness: 0.148, window is closed -> open window
02:38:08 1347.0 ppm (-4), brightness: 0.148, window is open -> close window
05:20:47 1734.0 ppm (+63), brightness: 0.148, window is closed -> open window
05:59:49 1429.0 ppm (+18), brightness: 0.148, window is open -> close window
